Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Programming_and_Software_Development_dem,Project_Management_dem,Accounting_and_Finance_dem,Marketing_and_Advertising_dem,Sales_and_Customer_Service_dem,Human_Resources_and_Leadership_dem,Graphic_Design_and_Illustration_dem,Photography_and_Photo_Editing_dem,Music_instruments_Composition_and_Production_dem,Writing_and_Editing_dem,Arts_and_Crafts_and_DIY_Projects_dem,Learning_Foreign_Languages_dem,Written_and_Oral_Communication_in_Various_Languages_dem,Interpretation_and_Translation_dem,Computer_and_Software_Application_Operation_dem,Network_Administration_and_IT_Support_dem,Electronics_and_Robotics_dem,Web_Design_and_Development_dem,Data_Analysis_and_Visualization_dem,Interpersonal_Communication_dem,Conflict_Resolution_and_Mediation_dem,Empathy_and_Emotional_Intelligence_dem,Leadership_Skills_and_Teamwork_dem,Networking_and_Relationship_Management_dem,Cooking_and_Baking_dem,Gardening_and_Farming_dem,DIY_and_Repairs_dem,Driving_and_Vehicle_Maintenance_dem,First_Aid_and_Life_Saving_Techniques_dem,Mathematics_and_Sciences_dem,History_and_Social_Sciences_dem,Literature_and_Philosophy_dem,Research_Methods_and_Academic_Writing_dem,Academic_Reading_and_Critique_dem,Time_Management_and_Organization_dem,Stress_Management_and_Mindfulness_dem,Financial_Planning_and_Budgeting_dem,Self_Defense_and_Personal_Safety_dem,Healthcare_and_Nutrition_dem
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Beginner,Novice,Novice,,,,,,Expert,Advanced,Expert,Expert,Expert,Expert,Expert,Expert,Advanced,Beginner,Advanced,Novice,Intermediate,Beginner,,,,,,Advanced,Expert,Expert,Advanced,Intermediate,,,,,,,,,,,,,,,
,,,,,,Expert,Beginner,Novice,Intermediate,Beginner,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Advanced,Expert,Expert,,,,Intermediate,Intermediate,Expert,Expert,Expert,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Advanced,Expert,Novice,,,,,,Advanced,Expert,Intermediate,Expert,Novice,Beginner,Intermediate,Expert,Beginner,Intermediate,Beginner,Advanced,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Intermediate,Advanced,Beginner,,,,,,Expert,Intermediate,Advanced,Novice,Novice,,,,,,Advanced,Advanced,Advanced,Advanced,Expert,Expert,,,,,,,,,Expert,Novice,Expert,Beginner,Advanced,Expert,Intermediate,Novice,Advanced,Advanced,Expert,Expert,Expert,Advanced,Beginner,Intermediate,Expert,Intermediate,Intermediate,Beginner,,,,,
,,,,,,,,,,,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Advanced,Expert,Expert,,,,,,,,,,,,,,,,,,,,
Novice,Novice,Intermediate,Expert,Novice,Novice,Novice,Novice,Expert,Novice,Novice,,,,,,,,,,,,,,Advanced,Intermediate,Expert,Intermediate,Novice,,,,,,,,,,,Advanced,Advanced,Intermediate,Expert,Expert,Expert,,,,,,Beginner,Advanced,Expert,Beginner,Expert,Beginner,Beginner,Expert,Advanced,Expert,Intermediate,Expert,Beginner,Advanced,Expert,Expert,Expert,Expert,,,,,,,,,,
,,,,,,,,,,,Novice,Advanced,Novice,Beginner,Intermediate,Expert,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Intermediate,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Novice,Expert,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Novice,Advanced,Beginner,Beginner,Expert,Intermediate,Expert,Expert,Beginner,Beginner,Expert,Advanced,Expert,Intermediate,Intermediate,Expert,,,,,,Expert,Advanced,Novice,Intermediate,Expert,,,,,
,,,,,,Novice,Advanced,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Advanced,Advanced,Advanced,,,,Expert,Expert,Expert,Intermediate,Intermediate,,,,,,Expert,Advanced,Advanced,Expert,Expert,Intermediate,Intermediate,Advanced,Intermediate,Expert,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Expert,Beginner,Beginner,Intermediate,Intermediate,Expert,Expert,Novice,Advanced,Expert,Expert,Expert,Beginner,Intermediate,Beginner,Intermediate,Advanced,,,,,,Beginner,Intermediate,Intermediate,Novice,Expert,,,,,,Advanced,Expert,Advanced,Expert,Advanced,,,,,
,,,,,,,,,,,Beginner,Expert,Novice,,,,,,Beginner,Intermediate,Beginner,Novice,Expert,,,,,,,,,,,Beginner,Novice,Beginner,Expert,Expert,Advanced,Beginner,Expert,Expert,Expert,Intermediate,Intermediate,Expert,Intermediate,Advanced,Expert,,,,,,,,,Intermediate,Expert,Expert,Expert,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,Advanced,Intermediate,Expert,,,,,,Beginner,Beginner,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Expert,Advanced,Expert,Advanced,Advanced,,,,,,,,,,,Advanced,Beginner,Advanced,Intermediate,Intermediate,,,,,,,,,,
,,,,,,,,,,,,,,Beginner,Novice,Novice,Intermediate,Beginner,,,,,,,,,,,,,,,,Novice,Advanced,Expert,Intermediate,Novice,,,,,,,,,,,,Beginner,Beginner,Expert,,,,,,Expert,Intermediate,Expert,Advanced,Advanced,,,,,,Novice,Beginner,Advanced,Beginner,Expert,Advanced,Beginner,Beginner,Expert,Intermediate
,,,,,,,,,,,,,,Expert,Intermediate,Intermediate,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Beginner,Beginner,Intermediate,,,,,,Expert,Expert,Expert,,,,,,,,,,,,,,,,Expert,Expert,Expert,Expert,Expert,,,,,
,,,,,,Beginner,Novice,Advanced,Novice,Novice,,,,Intermediate,Novice,Beginner,Novice,Intermediate,,,,,,,,,,,Expert,Novice,Beginner,Intermediate,Expert,,,,,,,,,,,,Expert,Advanced,Expert,Beginner,Advanced,,,,,,,,,Novice,Expert,Intermediate,Intermediate,Intermediate,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Beginner,Novice,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Advanced,Expert,Expert,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Beginner,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,Advanced,Advanced
,,,,,,Expert,Novice,Intermediate,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Advanced,Advanced,Novice,,,,,,Expert,Expert,Expert,Beginner,Expert
,,,,,,,,,,,,,,Novice,Expert,Novice,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Expert,Advanced,Expert,,,,,
,,,,,,,,,,,Novice,Intermediate,Beginner,Intermediate,Novice,Expert,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Expert,Intermediate,Expert,Beginner,Advanced,Advanced,Expert,Expert
Novice,Novice,Novice,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Novice,Novice,Intermediate,Novice,Advanced,Expert,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Advanced,Expert,Advanced,,,,,,Intermediate,Expert,Intermediate,Advanced,Intermediate
,,,,,,,,,,,,,,Novice,Beginner,Expert,Expert,Expert,,,,,,Beginner,Novice,Beginner,Beginner,Beginner,,,,,,,,,,,,,,,,,Beginner,Novice,Intermediate,Expert,Advanced,Expert,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,
Expert,Advanced,Beginner,Novice,Beginner,Intermediate,,,,,,Beginner,Novice,Novice,,,,,,,,,,,,,,,,Beginner,Novice,Beginner,Novice,Intermediate,,,,,,,,,,,,Advanced,Beginner,Intermediate,Intermediate,Advanced,,,,,,,,,,,,,,Beginner,Expert,Expert,Advanced,Novice,Expert,Advanced,Expert,Beginner,Advanced,Novice,Intermediate,Expert,Expert,Expert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Beginner,Expert,Advanced,Advanced,Expert,Expert,Expert,Expert,,,,,,,,,,,,,,Beginner,Expert,Expert,Expert,Expert,,,,,,Novice,Expert,Beginner,Expert,Expert,Expert,Intermediate,Intermediate,Expert,Beginner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Beginner,Expert,Novice,Expert,Advanced,Advanced,Expert,Beginner,Expert,Expert,Advanced,Expert,Expert,,,,,,,,,Expert,Beginner,Expert,Intermediate,Advanced,,,,,,,,,,,Advanced,Expert,Intermediate,Intermediate,Advanced
Expert,Advanced,Novice,Intermediate,Expert,Novice,,,,,,,,,Intermediate,Beginner,Expert,Advanced,Beginner,Advanced,Beginner,Beginner,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Advanced,Advanced,Expert,,,,,,,,,Expert,Expert,Advanced,Beginner,Expert,,,,,,Expert,Advanced,Advanced,Beginner,Novice,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Novice,Expert,Novice,,,,,,,,,,,,Intermediate,Expert,Expert,Intermediate,Expert,,,,Expert,Expert,Advanced,Advanced,Beginner,Advanced,Expert,Intermediate,Expert,Advanced,,,,,,Intermediate,Intermediate,Expert,Intermediate,Expert,Advanced,Advanced,Expert,Intermediate,Novice
Expert,Novice,Advanced,Novice,Expert,Beginner,,,,,,,,,Intermediate,Novice,Advanced,Beginner,Novice,Advanced,Intermediate,Intermediate,Beginner,Novice,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Novice,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Novice,Intermediate,Novice,,,,,,Intermediate,Advanced,Advanced,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Advanced,Expert,Intermediate,Advanced,Expert,Advanced,Expert,,,,,
,,,,,,,,,,,Advanced,Expert,Novice,,,,,,,,,,,Novice,Novice,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Intermediate,Expert,Expert,Expert,Expert,Intermediate,Novice,Intermediate,Novice,Expert,Expert,Expert,Expert,Intermediate,Intermediate,Advanced,Expert,Beginner,Intermediate,Expert,,,,,,,,,,
,,,,,,,,,,,Expert,Novice,Beginner,Novice,Beginner,Novice,Intermediate,Beginner,,,,,,,,,,,Novice,Advanced,Intermediate,Intermediate,Novice,,,,,,,,,,,,Intermediate,Expert,Beginner,Expert,Expert,Intermediate,Expert,Intermediate,Expert,Expert,Beginner,Beginner,Expert,Advanced,Intermediate,Expert,Beginner,Expert,Expert,Expert,Novice,Advanced,Novice,,,,,,,,,,
,,,,,,,,,,,Novice,Expert,Expert,,,,,,Advanced,Novice,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Expert,Expert,Advanced,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Advanced,Novice,Novice,Novice,Intermediate,Expert,Beginner,Intermediate,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Expert,Intermediate,Advanced,Expert,Expert,Expert,Advanced,Novice,Advanced,Expert,Expert,Expert,Intermediate,Expert,Expert,Expert,Novice,Expert
,,,,,,Novice,Beginner,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Expert,Novice,Intermediate,Intermediate,Intermediate,Expert,Advanced,Intermediate,Advanced,Expert,Expert,Expert,Expert,Beginner,Expert,Advanced,,,,,,Expert,Expert,Intermediate,Intermediate,Intermediate,,,,,,,,,,
Novice,Beginner,Novice,Novice,Novice,Beginner,,,,,,Beginner,Novice,Novice,,,,,,,,,,,Novice,Expert,Novice,Advanced,Novice,,,,,,,,,,,Advanced,Expert,Intermediate,Intermediate,Expert,Expert,Intermediate,Expert,Expert,Expert,Expert,Expert,Expert,Novice,Expert,Expert,Advanced,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Novice,Intermediate,Intermediate,,,,,,Expert,Intermediate,Intermediate,Expert,Novice,Expert,Expert,Advanced,Expert,Novice,Expert,Intermediate,Advanced,Expert,,,,,,Advanced,Intermediate,Expert,Intermediate,Intermediate,,,,,,Expert,Beginner,Intermediate,Beginner,Novice,,,,,
,,,,,,Intermediate,Intermediate,Advanced,Beginner,Advanced,,,,Expert,Advanced,Novice,Expert,Expert,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Expert,Advanced,Intermediate,Advanced,Advanced,Expert,Advanced,Beginner,Novice,,,,,,,,,Intermediate,Expert,Intermediate,Expert,Expert,,,,,,,,,,,Beginner,Advanced,Expert,Intermediate,Beginner
Intermediate,Novice,Expert,Novice,Novice,Novice,,,,,,,,,Advanced,Novice,Intermediate,Novice,Beginner,,,,,,,,,,,,,,,,Novice,Novice,Novice,Novice,Novice,,,,,,,,,,,,Expert,Intermediate,Expert,,,,,,,,,,,Beginner,Expert,Expert,Expert,Advanced,Advanced,Novice,Expert,Expert,Advanced,,,,,
Expert,Intermediate,Novice,Beginner,Intermediate,Beginner,,,,,,,,,Novice,Beginner,Advanced,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Expert,Expert,,,,,,,,,Beginner,Expert,Expert,Novice,Intermediate,,,,,,,,,,,,,,,
Novice,Beginner,Novice,Novice,Beginner,Expert,Intermediate,Novice,Beginner,Expert,Intermediate,,,,Advanced,Beginner,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Advanced,Intermediate,Advanced,Expert,Expert,Intermediate,Expert,Beginner,Advanced,Beginner,Beginner,,,,,,Advanced,Advanced,Advanced,Expert,Expert,Expert,Expert,Intermediate,Expert,Expert
,,,,,,Novice,Expert,Beginner,Expert,Beginner,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Novice,Novice,Intermediate,Intermediate,Novice,Intermediate,Advanced,Novice,Intermediate,Advanced,Expert,Novice,Expert,Expert,Expert,Intermediate,Expert,Intermediate,Expert,,,,,,,,,,,,,,Intermediate,Expert,Expert,Advanced,Advanced,Expert,Intermediate,Intermediate,Intermediate,Beginner,,,,,
,,,,,,Expert,Novice,Novice,Intermediate,Expert,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Expert,Expert,Advanced,,,,Expert,Beginner,Beginner,Advanced,Beginner,,,,,,,,,,,Expert,Intermediate,Expert,Intermediate,Novice,Expert,Expert,Intermediate,Advanced,Intermediate
,,,,,,,,,,,Novice,Novice,Novice,,,,,,,,,,,,,,,,Intermediate,Beginner,Expert,Novice,Beginner,,,,,,Advanced,Expert,Novice,Intermediate,Novice,Expert,,,,,,,,,,,,,,Beginner,Advanced,Expert,Expert,Novice,,,,,,,,,,,Expert,Advanced,Advanced,Expert,Intermediate
Beginner,Beginner,Advanced,Advanced,Beginner,Expert,,,,,,Novice,Intermediate,Intermediate,,,,,,,,,,,Novice,Novice,Beginner,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Advanced,Intermediate,Expert
Novice,Novice,Beginner,Novice,Advanced,Novice,,,,,,,,,,,,,,Intermediate,Beginner,Expert,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Expert,Expert,Intermediate,Intermediate,Advanced,Intermediate,Expert,Expert,Advanced,Beginner,Expert,Beginner,Expert,Beginner,Beginner,Advanced,Expert,Expert
Beginner,Intermediate,Expert,Novice,Advanced,Novice,Intermediate,Novice,Novice,Advanced,Novice,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Novice,Novice,,,,,,Intermediate,Expert,Beginner,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Beginner,Novice,Beginner,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Expert,Advanced,Intermediate,,,,,,,,,,,Advanced,Beginner,Expert,Expert,Advanced
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Novice,Advanced,Intermediate,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Expert,Expert,Expert,Expert,Novice,Intermediate,Beginner,Advanced,Advanced,,,,,,Intermediate,Intermediate,Intermediate,,,,,,Intermediate,Expert,Advanced,Advanced,Expert,Novice,Expert,Advanced,Expert,Expert,,,,,,Expert,Advanced,Advanced,Advanced,Beginner
Intermediate,Intermediate,Novice,Novice,Intermediate,Novice,Intermediate,Novice,Novice,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,Expert,Beginner,Novice,Novice,Intermediate,,,,,,,,,,,,Advanced,Expert,Expert,Expert,Beginner,Advanced,Intermediate,Beginner,,,,,,Expert,Advanced,Advanced,Intermediate,Expert,,,,,,Intermediate,Advanced,Expert,Expert,Advanced,Expert,Expert,Expert,Expert,Expert
Novice,Beginner,Novice,Novice,Advanced,Advanced,Expert,Novice,Expert,Advanced,Novice,,,,Novice,Beginner,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Beginner,Expert,Beginner,,,,,,Novice,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Intermediate,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Intermediate,Expert,Intermediate,,,,,
,,,,,,Beginner,Novice,Beginner,Novice,Novice,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Expert,Intermediate,Expert,,,,,,,,,,,,Beginner,Expert,Beginner,,,,,,,,,,,Expert,Intermediate,Expert,Intermediate,Advanced,Expert,Advanced,Expert,Advanced,Expert,,,,,
,,,,,,,,,,,Beginner,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Advanced,Beginner,,,,,,,,,,,,,,,
,,,,,,,,,,,Novice,Beginner,Beginner,Advanced,Expert,Intermediate,Beginner,Expert,,,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Novice,Advanced,,,,,,,Novice,Expert,Expert,Expert,Expert,Beginner,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Novice,Novice,Expert,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Advanced,Expert,Expert,Intermediate,Novice,Expert,Expert,Beginner,Beginner,Expert,Advanced,Advanced,,,,,,,,,,
Novice,Expert,Beginner,Advanced,Beginner,Beginner,,,,,,,,,,,,,,,,,,,Novice,Advanced,Novice,Advanced,Intermediate,,,,,,Novice,Beginner,Intermediate,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Intermediate,Expert,Beginner,,,,,
,,,,,,Novice,Novice,Novice,Intermediate,Beginner,,,,,,,,,,,,,,Novice,Intermediate,Expert,Advanced,Advanced,,,,,,,,,,,Expert,Intermediate,Advanced,Expert,Advanced,Expert,Novice,Expert,Expert,Beginner,Expert,,,,,,,,,Intermediate,Advanced,Expert,Beginner,Advanced,,,,,,Advanced,Intermediate,Expert,Expert,Advanced,,,,,
,,,,,,,,,,,,,,Advanced,Intermediate,Beginner,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Expert,Intermediate,,,,,,,,,,,Intermediate,Novice,Advanced,Beginner,Intermediate,Advanced,Advanced,Expert,Intermediate,Intermediate
Intermediate,Intermediate,Advanced,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,Novice,Advanced,Novice,Novice,Expert,,,,,,Novice,Novice,Intermediate,Novice,Expert,Expert,Expert,Advanced,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,,,Advanced,Expert,Beginner,Expert,Advanced,,,,,,Intermediate,Advanced,Novice,Advanced,Beginner
,,,,,,,,,,,,,,,,,,,Expert,Novice,Intermediate,Beginner,Expert,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Advanced,Expert,Advanced,,,,,,Advanced,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Novice,Advanced,Novice,Beginner,Novice,,,,,,,,,,,,,,Novice,Novice,Novice,Expert,Novice,Intermediate,Expert,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,,Advanced,Novice,Expert,,,,,,,,,,,Advanced,Advanced,Expert,Advanced,Beginner,Advanced,Advanced,Beginner,Expert,Expert,,,,,
,,,,,,Beginner,Novice,Beginner,Beginner,Intermediate,,,,,,,,,Expert,Beginner,Novice,Novice,Intermediate,,,,,,Novice,Novice,Beginner,Expert,Beginner,,,,,,Intermediate,Expert,Expert,Intermediate,Novice,Advanced,,,,,,,,,Beginner,Intermediate,Expert,Intermediate,Advanced,,,,,,,,,,,Expert,Expert,Advanced,Advanced,Intermediate,Beginner,Intermediate,Expert,Expert,Expert
,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Expert,Novice,,,,,,,,,,,Advanced,Expert,Expert,Novice,Intermediate,Novice,,,,,,Intermediate,Intermediate,Expert,,,,,,Beginner,Advanced,Intermediate,Beginner,Expert,,,,,,Intermediate,Expert,Beginner,Expert,Intermediate,,,,,
,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Novice,Novice,Expert,Novice,Novice,Intermediate,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Expert,Expert,,,,,,Intermediate,Expert,Expert,Beginner,Expert,,,,,
Intermediate,Beginner,Intermediate,Beginner,Novice,Beginner,,,,,,,,,,,,,,,,,,,Expert,Beginner,Novice,Advanced,Beginner,Novice,Beginner,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Novice,Expert,Beginner,Expert,Expert,Intermediate,Expert,Advanced,Intermediate,Expert,Beginner,Expert,Expert,Expert,Expert,Novice,Intermediate,Advanced,Expert,Expert,Expert,Intermediate,Advanced
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Advanced,Expert,,,,Intermediate,Advanced,Expert,Intermediate,Advanced,,,,,,,,,,,Expert,Expert,Advanced,Expert,Expert,,,,,
,,,,,,Intermediate,Expert,Expert,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Expert,Expert,Intermediate,Expert,Beginner,Expert,Intermediate,Advanced,Advanced,,,,,,,,,Advanced,Intermediate,Intermediate,Expert,Advanced,,,,,,Advanced,Beginner,Beginner,Advanced,Beginner,,,,,
,,,,,,,,,,,,,,Beginner,Intermediate,Advanced,Novice,Intermediate,,,,,,Novice,Novice,Novice,Intermediate,Advanced,,,,,,Expert,Expert,Intermediate,Beginner,Advanced,Expert,Intermediate,Expert,Expert,Advanced,Expert,Expert,Advanced,Intermediate,Novice,Expert,,,,,,,,,Intermediate,Expert,Intermediate,Intermediate,Expert,,,,,,Expert,Beginner,Advanced,Advanced,Advanced,,,,,
Advanced,Expert,Novice,Beginner,Expert,Novice,,,,,,,,,Intermediate,Novice,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Expert,Expert,Expert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,Intermediate,Expert,Intermediate,,,,,,Beginner,Intermediate,Expert,Intermediate,Intermediate,,,,,,Expert,Novice,Expert,Intermediate,Advanced,,,,,
,,,,,,,,,,,Expert,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Advanced,Expert,Expert,,,,,
,,,,,,,,,,,,,,Novice,Novice,Novice,Expert,Intermediate,,,,,,Novice,Expert,Intermediate,Intermediate,Novice,,,,,,Novice,Intermediate,Beginner,Novice,Beginner,Expert,Beginner,Expert,Expert,Advanced,Intermediate,,,,,,,,,Intermediate,Advanced,Novice,Beginner,Expert,Expert,Expert,Advanced,Advanced,Intermediate,,,,,,,,,,,Expert,Novice,Expert,Expert,Advanced
,,,,,,,,,,,,,,Novice,Intermediate,Novice,Intermediate,Expert,,,,,,,,,,,Novice,Intermediate,Novice,Novice,Novice,,,,,,Novice,Expert,Intermediate,Advanced,Intermediate,Expert,Expert,Expert,Expert,Advanced,Advanced,,,,,,,,,Expert,Beginner,Intermediate,Expert,Expert,Beginner,Intermediate,Novice,Expert,Expert,,,,,,Expert,Expert,Novice,Expert,Intermediate
,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Novice,Novice,,,,,,Novice,Advanced,Advanced,Novice,Expert,Intermediate,Novice,Advanced,Intermediate,Advanced,,,,,,,,,,,,Advanced,Expert,Advanced,Advanced,Intermediate,Advanced,Expert,Advanced,,,,,,Advanced,Beginner,Advanced,Expert,Expert,,,,,,,,,,,,,,,
